file_name,title,description,keywords,url,dataset_name
living-shipwrecks-3d-water-column-data-in-southeas_d36aa639-5870-429a-8331-0f855b29751e.json,Home - Earthdata Forum,,[],,Maritime Data
cloud-amount-frequency-salinity-and-other-data-fro_c38e6d02-3bd9-4345-bd20-326621c36194.json,"Cloud amount/frequency, SALINITY and other data from ATAIR, VALDIVIA and other platforms from 1973-08-13 to 1990-12-11 (NCEI Accession 9200284)","Cloud amount/frequency, SALINITY and other data from ATAIR, VALDIVIA and other platforms from 1973-08-13 to 1990-12-11 (NCEI Accession 9200284) (format: HTML)",[],,Maritime Data
temperature-profile-data-from-xbt-casts-in-the-sou_ec31d641-ac3a-4d7b-b6dd-fcbcd66935c1.json,Contact | National Centers for Environmental Information (NCEI),"Climate and Past Weather *For up-to-date forecasts and current weather, please visit the National Weather Service website.",[],,Maritime Data
maine-and-new-hampshire-2016-nav_marine_poly-navig_d1da9010-b843-4658-84cc-13cf67f0f935.json,ESI Guidelines | response.restoration.noaa.gov,,[],,Maritime Data
ais-data2_08cd0123-72b8-46fc-9c92-4cf6ce095243.json,AIS data | InPort,Automatic identification system (AIS) data are used to identify and track vessels for various purposes (primarily navigational safety). These data can be use...,[],,AIS Vessel Tracking
international-comprehensive-ocean-atmosphere-data-_9f26922f-6e73-447d-851c-c8b561c90b44.json,Contact | National Centers for Environmental Information (NCEI),"Climate and Past Weather *For up-to-date forecasts and current weather, please visit the National Weather Service website.",[],,Maritime Data
water-temperature-and-pressure-profiles-collected-_38bed722-2855-47be-afd9-7bde6c4e8ab1.json,Contact | National Centers for Environmental Information (NCEI),"Climate and Past Weather *For up-to-date forecasts and current weather, please visit the National Weather Service website.",[],,Maritime Data
nf-0705-30-march-10-april-2007-virgin-islands_70a80c0b-ced2-4d1c-affc-8ac827990707.json,Southeast Fisheries Science Center | NOAA Fisheries,Providing the scientific advice and data needed to effectively manage the living resources of the Southeast Region and Atlantic high seas.,[],,Maritime Data
international-comprehensive-ocean-atmosphere-data-_02e04e9f-e8c1-4183-a8de-b1cb94bc58d9.json,Index of /data/international-comprehensive-ocean-atmosphere/v3/archive/final-untrim/,,[],,Maritime Data
partial-pressure-of-carbon-dioxide-salinity-temper_ddf9b35b-f21c-434d-976e-7b6df6c455ee.json,Contact | National Centers for Environmental Information (NCEI),"Climate and Past Weather *For up-to-date forecasts and current weather, please visit the National Weather Service website.",[],,Maritime Data
piston-2018-research-vessel-rv-thompson-ship-datas_0b815328-1904-4aa0-8a1c-2378addf5b40.json,Earthdata Login,Earthdata Login,[],,AIS Vessel Tracking
partial-pressure-of-carbon-dioxide-salinity-temper_7a0589c9-7086-47c4-b11e-03cb5ec84761.json,Home - Earthdata Forum,,[],,Maritime Data
oceanographic-profile-temperature-salinity-and-oth_33b6bde4-a958-42dc-a734-3abbeab6ac6d.json,prd OAS: Download accessions,,[],,Maritime Data
physical-chemical-and-other-data-from-bottle-xbt-a_1094b169-1cff-451d-96c1-7d9d2fe4f368.json,Home - Earthdata Forum,,[],,Maritime Data
water-temperature-and-pressure-profiles-collected-_2b66f112-8d4f-441f-a308-f243fba5ebe7.json,Home - Earthdata Forum,,[],,Maritime Data
physical-chemical-and-other-data-from-bottle-xbt-a_5ea3680a-f8cc-486e-917c-82f2cc2dedc0.json,"NODC Standard Product: Documentation for NODC Standard File Formats and Related Codes, 1960 - 1996 (NCEI Accession 0189890)","NODC Standard Product: Documentation for NODC Standard File Formats and Related Codes, 1960 - 1996 (NCEI Accession 0189890) (format: HTML)",[],,Maritime Data
oceanographic-profile-temperature-salinity-and-oth_d397fd15-fd17-4b9b-a809-cb872edaa114.json,Home - Earthdata Forum,,[],,Maritime Data
multibeam-bathymetry-database-mbbdb2_611c79d8-2844-48b4-8d63-453a1df58766.json,Home - Earthdata Forum,,[],,Maritime Data
processed-delayed-mode-xbt-data-from-kaln-express-_07d883a4-8978-4fbc-abe0-5114eaabb8f3.json,"Processed delayed-mode XBT data from Köln Express, Cap Finisterre, Gauss, and Walter Herwig III from 1998-01-01 to 1998-12-12 (NCEI Accession 9900233)","Processed delayed-mode XBT data from Köln Express, Cap Finisterre, Gauss, and Walter Herwig III from 1998-01-01 to 1998-12-12 (NCEI Accession 9900233) (format: HTML)",[],,Maritime Data
multibeam-bathymetry-database-mbbdb2_c2484921-3c64-4d2e-8b3b-091397451d61.json,Home - Earthdata Forum,,[],,Maritime Data
physical-chemical-and-other-data-from-bottle-xbt-a_563ad5f2-5f78-4714-8d18-f48787a9bd71.json,Home - Earthdata Forum,,[],,Maritime Data
noaa-electronic-navigational-charts-enc1_31fdd7af-3056-4692-9c5a-85cca7524d98.json,MaritimeChartService: MapServer,,[],,Maritime Data
